Date,Time,Sensor_ID,State,Temp,Humidity,timestamp,reading_date,reading_hour,temp_humidity_gap,rejection_reason
18-11-08,08:51:25.08588,M13,OFF,30.7,48.4,2018-11-08 08:51:25.085880,2018-11-08,8,17.7,extraneous_column_data
18-11-08,08:51:25.397229,M14,OFF,30.7,61.6,2018-11-08 08:51:25.397229,2018-11-08,8,30.900000000000002,extraneous_column_data
18-11-08,08:51:25.625999,M13,ON,33.0,54.3,2018-11-08 08:51:25.625999,2018-11-08,8,21.299999999999997,extraneous_column_data
18-11-08,08:51:26.47458,M13,OFF,31.2,50.3,2018-11-08 08:51:26.474580,2018-11-08,8,19.099999999999998,extraneous_column_data
18-11-08,08:51:35.79495,M14,ON,27.9,64.3,2018-11-08 08:51:35.794950,2018-11-08,8,36.4,extraneous_column_data
18-11-08,08:51:37.06448,M14,OFF,31.8,57.4,2018-11-08 08:51:37.064480,2018-11-08,8,25.599999999999998,extraneous_column_data
18-11-08,08:51:37.370229,M14,ON,31.6,45.5,2018-11-08 08:51:37.370229,2018-11-08,8,13.899999999999999,extraneous_column_data
18-11-08,08:51:44.75288,M14,OFF,30.1,60.7,2018-11-08 08:51:44.752880,2018-11-08,8,30.6,extraneous_column_data
18-11-08,08:51:47.55533,M14,OFF,28.8,49.7,2018-11-08 08:51:47.555330,2018-11-08,8,20.900000000000002,extraneous_column_data
18-11-08,08:51:49.367389,M14,ON,32.7,58.8,2018-11-08 08:51:49.367389,2018-11-08,8,26.099999999999994,extraneous_column_data
18-11-08,08:51:50.525429,M14,OFF,30.3,52.9,2018-11-08 08:51:50.525429,2018-11-08,8,22.599999999999998,extraneous_column_data
18-11-08,08:51:51.025249,M14,ON,27.1,63.2,2018-11-08 08:51:51.025249,2018-11-08,8,36.1,extraneous_column_data
18-11-08,08:51:53.9286,M14,ON,31.8,46.6,2018-11-08 08:51:53.928600,2018-11-08,8,14.8,extraneous_column_data
18-11-08,08:51:55.88575,M14,OFF,34.9,55.6,2018-11-08 08:51:55.885750,2018-11-08,8,20.700000000000003,extraneous_column_data
18-11-08,08:51:57.485189,M14,ON,33.5,61.4,2018-11-08 08:51:57.485189,2018-11-08,8,27.9,extraneous_column_data
18-11-08,08:52:05.455879,M14,ON,29.2,47.1,2018-11-08 08:52:05.455879,2018-11-08,8,17.900000000000002,extraneous_column_data
18-11-08,08:52:10.181529,M14,OFF,28.0,59.4,2018-11-08 08:52:10.181529,2018-11-08,8,31.4,extraneous_column_data
18-11-08,08:52:14.813709,M14,OFF,29.4,53.2,2018-11-08 08:52:14.813709,2018-11-08,8,23.800000000000004,extraneous_column_data
18-11-08,08:52:15.158639,M14,ON,28.7,62.7,2018-11-08 08:52:15.158639,2018-11-08,8,34.0,extraneous_column_data
18-11-08,08:52:16.76535,M14,OFF,33.5,50.1,2018-11-08 08:52:16.765350,2018-11-08,8,16.6,extraneous_column_data
18-11-08,08:52:29.72087,M14,ON,28.6,56.3,2018-11-08 08:52:29.720870,2018-11-08,8,27.699999999999996,extraneous_column_data
18-11-08,08:52:33.614079,M14,ON,30.2,45.7,2018-11-08 08:52:33.614079,2018-11-08,8,15.500000000000004,extraneous_column_data
18-11-08,08:52:36.05145,M14,OFF,33.5,64.5,2018-11-08 08:52:36.051450,2018-11-08,8,31.0,extraneous_column_data
18-11-08,08:52:37.515229,M14,ON,30.1,57.6,2018-11-08 08:52:37.515229,2018-11-08,8,27.5,extraneous_column_data
18-11-08,08:52:44.31534,M14,ON,31.0,49.5,2018-11-08 08:52:44.315340,2018-11-08,8,18.5,extraneous_column_data
18-11-08,08:52:48.23563,M14,OFF,30.8,60.8,2018-11-08 08:52:48.235630,2018-11-08,8,29.999999999999996,extraneous_column_data
18-11-08,08:52:48.76515,M14,ON,32.5,52.6,2018-11-08 08:52:48.765150,2018-11-08,8,20.1,extraneous_column_data
18-11-08,08:52:59.36224,M14,ON,34.1,48.0,2018-11-08 08:52:59.362240,2018-11-08,8,13.899999999999999,extraneous_column_data
18-11-08,08:53:01.727989,M14,OFF,27.7,63.9,2018-11-08 08:53:01.727989,2018-11-08,8,36.2,extraneous_column_data
18-11-08,08:53:08.98529,M14,ON,32.9,54.1,2018-11-08 08:53:08.985290,2018-11-08,8,21.200000000000003,extraneous_column_data
18-11-08,08:53:10.907959,M14,OFF,29.8,46.4,2018-11-08 08:53:10.907959,2018-11-08,8,16.599999999999998,extraneous_column_data
18-11-08,08:53:15.455349,M14,ON,29.1,61.0,2018-11-08 08:53:15.455349,2018-11-08,8,31.9,extraneous_column_data
18-11-08,08:53:21.498769,M14,OFF,32.2,58.4,2018-11-08 08:53:21.498769,2018-11-08,8,26.199999999999996,extraneous_column_data
